"CONTA_CONTABIL";"DESCRICAO";"ORIENTACOES"
"1.01.01.06.03";"Derivativos-Hedge Investimento no Exterior-No Pais";"Contas que registram os instrumentos destinados a hedge de fluxo de investimento no exterior operados em ambiente negocial no pais. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"1.01.01.06.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-Hedge-No Pais";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no pais, destinados a hedge, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 51/52,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.06.90";"Subconta-Adocao Inicial-Valores Mobiliarios-Hedge-No Pais";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.09";"TITULOS E VALORES MOBILIARIOS-NAO HEDGE-NO EXTERIOR";
"1.01.01.09.01";"Titulos para Negociacao-Mensurados a Valor Justo por Meio de Resultado (VJPR)-No Exterior";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no exterior, sobre os quais ha a intencao de negociacao no curto prazo ou se a mensuracao pelo valor justo diminuir ou eliminar alguma inconsistencia de mensuracao de acordo com a gestao financeira da empresa (fair value option) e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Os derivativos utilizados como hedge devem ser registrados no grupo 1.01.01.10."
"1.01.01.09.02";"Titulos Disponiveis para Venda-No Exterior";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no exterior, sobre os quais nao ha definicao de quando nem quais condicoes vai negocia-los e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Contrapartida das alteracoes no seu valor justo, bem como custos de transacao, devem ser reconhecidos no Patrimonio Liquido ate a realizacao do ativo. "
"1.01.01.09.03";"Titulos Mantidos ate o Vencimento-No Exterior";"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicilio no exterior, nao derivativos, com pagamentos fixos ou determinaveis e com vencimento fixo, para os quais ha a intencao e a capacidade de se manter ate o vencimento e ainda nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo. Acoes e outros titulos patrimoniais nao devem receber esta classificacao. Titulos publicos e de renda fixa constumam receber esta classificacao."
"1.01.01.09.10";"Debentures emitidas por Partes Relacionadas-No Exterior";"Contas que registram as debentures emitidas por empresas com sede no exterior, relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.01.01.09.11";"Debentures emitidas por Partes Nao Relacionadas-No Exterior";"Contas que registram as debentures emitidas por empresas com sede no exterior, nao relacionadas com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, independente da base de mensuracao utilizada ou se tais Valores Mobiliarios poderiam ser classificaveis em outras contas mais genericas de ativos financeiros."
"1.01.01.09.15";"Outros Emprestimos e Recebiveis-No Exterior";"Contas que registram outros emprestimos e recebiveis cuja contraparte tenha sede ou domicilio   no exterior e que nao estejam melhor classificados em outras contas mais especifica, mesmo que extrapolem o conceito da Lei no 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determinaveis nao cotados em um mercado ativo. Esses titulos sao avaliados pelo metodo de custo amortizado, com os custos de transacao capitalizados ao valor do ativo."
"1.01.01.09.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)-Valores Mobiliarios-No Exterior";"Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros no exterior. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002."
"1.01.01.09.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)- Valores Mobiliarios-No Exterior";"Contas que registram as perdas incorridas com base em evidencias objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os titulos para negociacao nao estao sujeitos a teste de 'impairment'. Esta conta tambem registra as eventuais reversoes, nao se admitindo para titulos patrimoniais. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do Lalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real (art. 32, Lei no 12.973/2014),  sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002."
"1.01.01.09.70";"Subconta-Ajuste a Valor Justo-Nao Hedge-No Exterior";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no exterior, inclusive decorrentes apenas de sua mensuracao inicial ou efetuados nos objetos de hedge de valor justo. Os titulos para negociacao e disponiveis para venda devem seguir a mensuracao pelo valor justo ate sua baixa. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 49/50,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002. Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.09.90";"Subconta-Adocao Inicial-Valores Mobiliarios-Nao Hedge-No Exterior";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida da realizacao do bem, (arts. 164 e 167,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002.  Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.10";"VALORES MOBILIARIOS-HEDGE-NO EXTERIOR";
"1.01.01.10.01";"Derivativos-Hedge Valor Justo-No Exterior";"Contas que registram os instrumentos destinados a hedge de valor justo operados em ambiente negocial no exterior. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"1.01.01.10.02";"Derivativos-Hedge Fluxo de Caixa-No Exterior";"Contas que registram os instrumentos destinados a hedge de fluxo de caixa operados em ambiente negocial no exterior. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"1.01.01.10.03";"Derivativos-Hedge Investimento no Exterior-No Exterior";"Contas que registram os instrumentos destinados a hedge de fluxo de investimento no exterior operados em ambiente negocial no exterior. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD"
"1.01.01.10.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-Hedge-No Exterior";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no exterior, destinados a Hedge, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da alienacao ou baixa do ativo(arts. 49/53,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6) sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF no 213/2002. Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014). Excepcionalmente, as subcontas de adocao inicial deste grupo tambem devem receber esta classificacao no plano referencial."
"1.01.01.10.90";"Subconta-Adocao Inicial-Valores Mobiliarios-Hedge-No Exterior";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.01.40";"RECURSOS NO EXTERIOR DECORRENTES DE EXPORTACAO";
"1.01.01.40.01";"Recursos no Exterior Decorrentes de Exportacao";"Contas que registram movimentacao de recursos em instituicoes financeiras no exterior oriundas de recebimentos de exportacoes brasileiras de mercadorias e de servicos."
"1.01.01.99";"OUTRAS DISPONIBILIDADES";
"1.01.01.99.01";"Outras Disponibilidades";"Contas que registram outras disponibilidades nao classificaveis em contas especificas deste plano de contas."
"1.01.02";"CREDITOS";
"1.01.02.01";"ADIANTAMENTOS";
"1.01.02.01.01";"Adiantamentos a Fornecedores-no Pais-Circulante";"Contas que registram os adiantamentos feitos a fornecedores, no pais."
"1.01.02.01.02";"Adiantamentos a Fornecedores-no Exterior-Circulante";"Contas que registram os adiantamentos feitos a fornecedores,  no exterior."
"1.01.02.01.03";"Adiantamentos a Funcionarios-Circulante";"Contas que registram os adiantamentos feitos a funcionarios."
"1.01.02.01.04";"Adiantamentos a Terceiros-Circulante";"Contas que registram os adiantamentos feitos a terceiros."
"1.01.02.01.98";"Outros Adiantamentos-Circulante";"Contas que registram os adiantamentos nao classificaveis em contas especificas neste plano de contas."
"1.01.02.02";"DUPLICATAS A RECEBER";
"1.01.02.02.01";"Duplicatas a Receber-Operacoes com Partes Nao Relacionadas-no Pais";"Contas que registram os valores a receber de clientes no pais, nao relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos. Os recebiveis que foram negociados em processos de securitizacao, ou assemelhando, devem ser registrados na conta Direitos Creditorios Cedidos(1.01.02.09.20), enquanto nao baixados. Ja a securitizadora  deve registrar os recebiveis em Direitos Creditorios a Receber(1.01.02.09.25)"
"1.01.02.02.02";"Duplicatas a Receber-Operacoes com Partes Nao Relacionadas-no Exterior";"Contas que registram os valores a receber de clientes no exterior, nao relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos.  Os recebiveis que foram negociados em processos de securitizacao, ou assemelhando, devem ser registrados na conta Direitos Creditorios Cedidos(1.01.02.09.20), enquanto nao baixados. Ja a securitizadora deve registrar os recebiveis em Direitos Creditorios a Receber(1.01.02.09.25)"
"1.01.02.02.03";"Duplicatas a Receber-Operacoes com Partes Relacionadas-no Pais";"Contas que registram os valores a receber de clientes no pais, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos. Os recebiveis que foram negociados em processos de securitizacao, ou assemelhando, devem ser registrados na conta Direitos Creditorios Cedidos(1.01.02.09.20), enquanto nao baixados. Ja a securitizadora deve registrar os recebiveis em Direitos Creditorios a Receber(1.01.02.09.25)"
"1.01.02.02.04";"Duplicatas a Receber-Operacoes com Partes Relacionadas-no Exterior";"Contas que registram os valores a receber de clientes no exterior, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intencao de venda os titulos.  Os recebiveis que foram negociados em processos de securitizacao, ou assemelhando, devem ser registrados na conta Direitos Creditorios Cedidos(1.01.02.09.20), enquanto nao baixados. Ja a securitizadora deve registrar os recebiveis em Direitos Creditorios a Receber(1.01.02.09.25)"
"1.01.02.02.50";"(-) Juros a Apropriar Decorrentes de Ajuste da Valor Presente (AVP)-Duplicatas a Receber ";"Contas que registram os ajustes a valor presente efetuados sobre os ativos financeiros representativos das operacoes de venda a prazo, sua contrapartida nao deve ser excluida da Receita Bruta do periodo, mas compor uma deducao, art. 12, Decreto-Lei no 1.598/1977(conta referencial 3.01.01.01.02.10). Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do e-Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014). "
"1.01.02.02.52";"(-) Perdas Estimadas em Creditos de Liquidacao Duvidosa-Duplicatas a Receber ";"Contas que registram parcelas a serem subtraidas, correspondentes a valores das perdas estimadas para os creditos de liquidacao duvidosa, que retificam este grupo."
"1.01.02.02.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)-Duplicatas a Receber ";" Contas que registram as perdas incorridas com base em evidencias objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. O registro e dedutibilidade no Lucro Real deve observar os regramentos dispostos nos arts. 24/25, Instrucao Normativa SRF no 1.515/2014"
"1.01.02.02.90";"Subconta-Adocao Inicial-Duplicatas a Receber";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do ativo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"1.01.02.03";"TRIBUTOS A RECUPERAR";
"1.01.02.03.01";"IPI a Recuperar";"Contas que registram o IPI a recuperar. "
"1.01.02.03.02";"ICMS a Recuperar";"Contas que registram o ICMS a recuperar. "
"1.01.02.03.03";"PIS a Recuperar-Credito Basico";"Contas que registram o PIS a recuperar. "
"1.01.02.03.04";"PIS a Recuperar-Credito Presumido";"Contas que registram o PIS a recuperar, decorrente de credito presumido."
"1.01.02.03.05";"COFINS a Recuperar-Credito Basico";"Contas que registram a COFINS a recuperar."
"1.01.02.03.06";"COFINS a Recuperar-Credito Presumido";"Contas que registram a COFINS a recuperar, decorrente de credito presumido."
"1.01.02.03.07";"CIDE a Recuperar";"Contas que registram a CIDE a recuperar."
"1.01.02.03.40";"Outros Impostos e Contribuicoes a Recuperar";"Contas que registrem  outros impostos e contribuicoes a recuperar no final do periodo de apuracao. Valores referentes ao ISSQN devem receber esta classificacao."
"1.01.02.03.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)-Tributos a Recuperar";"Contas que registram os ajustes a valor presente efetuados sobre os tributos a recuperar. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada (art.4o, Lei no 12.973/2014)."
"1.01.02.03.55";"(-) Perdas por Reducao ao Valor Recuperavel (Impairment)-Tributos a Recuperar";"Contas que registram as perdas estimadas com base em evidencias objetivas impactantes no fluxo de caixa futuros estimados desses tributos a recuperar. Esta conta tambem registra as eventuais reversoes. Referidos valores deverao ser adicionados ao Lucro Real, mantidos na Parte B do Lalur ate ocorrencia da alienacao ou baixa do ativo, quando poderao ser excluidos do Lucro Real (art. 32, Lei no 12.973/2014)."
"1.01.02.04";"TRIBUTOS A COMPENSAR";
"1.01.02.04.01";"Imposto de Renda Retido na Fonte (IRRF)";"Contas correspondentes ao Imposto de Renda Retido na Fonte sobre receitas da Pessoa Juridica declarante."
"1.01.02.04.02";"IRPJ Recolhido por Estimativa";"Contas que registrem o valor do IRPJ recolhido por estimativa."
"1.01.02.04.03";"IRPJ Saldo Negativo";"Contas que registram o saldo negativo do IRPJ. "
"1.01.02.04.04";"CSLL Retida na Fonte";"Contas correspondentes a Contribuicao Social sobre o Lucro Liquido Retida na Fonte sobre receitas da Pessoa Juridica declarante."
"1.01.02.04.05";"CSLL Recolhida por Estimativa";"Contas que registram o valor da CSLL recolhida por estimativa."
"1.01.02.04.06";"CSLL Saldo Negativo";"Contas que registram o saldo negativo da CSLL."
"1.01.02.04.07";"PIS/PASEP Retido na Fonte";"Contas que registram o PIS/PASEP Retido na Fonte sobre receitas da Pessoa Juridica declarante."
"1.01.02.04.08";"PIS/PASEP a Compensar";"Contas que registram o PIS/PASEP a compensar."
"1.01.02.04.09";"COFINS Retida na Fonte";"Contas que registram a COFINS Retida na Fonte sobre receitas da Pessoa Juridica declarante."
"1.01.02.04.10";"COFINS a Compensar";"Contas que registram a COFINS a compensar. "
"1.01.02.04.11";"IPI a Compensar";"Contas que registram ao IPI a compensar. "
"1.01.02.04.12";"IOF a Compensar";"Contas que registram o IOF a compensar. "
"1.01.02.04.13";"Imposto de Importacao a Compensar";"Contas que registram o Imposto de Importacao a compensar. "
"1.01.02.04.14";"Imposto de Exportacao a Compensar";"Contas que registram o Imposto de Exportacao a compensar."
"1.01.02.04.15";"ITR a Compensar";"Contas que registram o ITR a compensar."
"1.01.02.04.16";"CIDE a Compensar";"Contas que registram a CIDE a compensar."
"1.01.02.04.17";"Contribuicao Previdenciaria Retida na Prestacao de Servicos";"Contas que registram a Contribuicao Previdenciaria Retida na Fonte na prestacao de servicos a compensar. "
"1.01.02.04.18";"Contribuicao Previdenciaria a Compensar";"Contas que registram a Contribuicao Previdenciariaa compensar."
"1.01.02.04.40";"Outros Tributos a Compensar";"Contas que registram  outros impostos e contribuicoes a compensar. Valores referentes ao ISSQN devem receber esta classificacao."
"1.01.02.04.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)-Tributos a Compensar";"Contas que registram os ajustes a valor presente efetuados sobre os tributos a compensar. Referidos valores serao apropriados ao resultado pelo regime de competencia e excluidos do Lucro Real. Nao devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo periodo em a receita ou resultado da operacao deva ser tributada(art.4o, Lei no 12.973/2014)."
